"","Molecule.ChEMBL.ID","Smiles","Standard.Relation","Standard.Value","Document.ChEMBL.ID","Molar","pIC50","Bioactivity.Class"
"1008","CHEMBL285686","CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)c1ccccc1","'='","26.0","CHEMBL1147624",2.6e-08,7.58502665202918,"active"
"1009","CHEMBL179532","O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c2c1","'='","26.0","CHEMBL1142688",2.6e-08,7.58502665202918,"active"
"1010","CHEMBL216865","O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCN(CCc1ccccc1)c1ccccc1-3","'='","26.0","CHEMBL1137351",2.6e-08,7.58502665202918,"active"
"1011","CHEMBL386726","O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1ccccc1-3","'='","26.0","CHEMBL1137351",2.6e-08,7.58502665202918,"active"
"1012","CHEMBL2043027","COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCCCN(C)C1=O","'='","26.0","CHEMBL3886897",2.6e-08,7.58502665202918,"active"
"1013","CHEMBL4441238","COP(=O)(Nc1nn(-c2ccc(-c3cc4nc(C)cc(N)n4n3)cc2)cc1C(=O)O)c1ccc(C)cc1C","'='","25.7","CHEMBL4431344",2.57e-08,7.59006687666871,"active"
"1014","CHEMBL93512","C=CC1C[C@]1(NC(=O)C1C[C@@H](Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)O","'='","25.0","CHEMBL1136161",2.5e-08,7.60205999132796,"active"
"1015","CHEMBL3927196","CC(C)=CC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C","'='","25.0","CHEMBL3886880",2.5e-08,7.60205999132796,"active"
"1016","CHEMBL3645744","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)CN1CCc3ccccc3C1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1","'='","25.0","CHEMBL3639192",2.5e-08,7.60205999132796,"active"
"1017","CHEMBL3645758","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1ccc3occc3c1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1","'='","25.0","CHEMBL3639192",2.5e-08,7.60205999132796,"active"
"1018","CHEMBL3645759","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](OC)c1ccccc1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1","'='","25.0","CHEMBL3639192",2.5e-08,7.60205999132796,"active"
"1019","CHEMBL3645753","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(C)=O)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1","'='","25.0","CHEMBL3639192",2.5e-08,7.60205999132796,"active"
"1020","CHEMBL3645755","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1c[nH]c3ccccc13)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1","'='","25.0","CHEMBL3639192",2.5e-08,7.60205999132796,"active"
"1021","CHEMBL3645746","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC1CCCCO1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1","'='","25.0","CHEMBL3639192",2.5e-08,7.60205999132796,"active"
"1022","CHEMBL3645743","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cc3cc(OC)ccc3[nH]1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1","'='","25.0","CHEMBL3639192",2.5e-08,7.60205999132796,"active"
"1023","CHEMBL383960","O=C(O)c1ccc2c(C3CCCC3)c(-c3ccoc3)[nH]c2c1","'='","25.0","CHEMBL1146881",2.5e-08,7.60205999132796,"active"
"1024","CHEMBL1236660","Cn1c(-c2ccccc2)c(C2CCCCC2)c2sc(C(=O)O)cc21","'='","25.0","CHEMBL4321790",2.5e-08,7.60205999132796,"active"
"1025","CHEMBL3922869","CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)C(=O)N(c3ccc(F)cc3)CO4)cc12","'='","24.83","CHEMBL3886778",2.483e-08,7.60502328044544,"active"
"1026","CHEMBL4444480","COP(=O)(Nc1nc(-c2ccc(-c3cc4nc(C)cc(N)n4n3)cc2)sc1C(=O)O)c1ccc(C)cc1C","'='","24.4","CHEMBL4431344",2.44e-08,7.61261017366127,"active"
"1027","CHEMBL376462","O=C(O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","24.0","CHEMBL3045038",2.4e-08,7.61978875828839,"active"
"1028","CHEMBL385407","CN(C)C(=O)CN1CCn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc21","'='","24.0","CHEMBL1137351",2.4e-08,7.61978875828839,"active"
"1029","CHEMBL3651432","CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ccccn5)COC4)ccc3C)c(F)c12","'='","24.0","CHEMBL3639184",2.4e-08,7.61978875828839,"active"
"1030","CHEMBL380686","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(OCC(N)=O)ccc21","'='","24.0","CHEMBL1148625",2.4e-08,7.61978875828839,"active"
"1031","CHEMBL210674","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NN4CCC4)ccc3N2)c(O)c2cccnc21","'='","24.0","CHEMBL1138070",2.4e-08,7.61978875828839,"active"
"1032","CHEMBL3972861","CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4nc(C)n(Cc5ccc(F)cc5OC)c(=O)c4n3)cc12","'='","23.72","CHEMBL3886778",2.372e-08,7.62488531530778,"active"
"1033","CHEMBL4225009","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2nccc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)N[C@H](C(=O)NCc1ccccc1)C(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1","'='","23.0","CHEMBL4219218",2.3e-08,7.63827216398241,"active"
