"","Molecule.ChEMBL.ID","Smiles","Standard.Relation","Standard.Value","Document.ChEMBL.ID","Molar","pIC50","Bioactivity.Class"
"399","CHEMBL205118","O=C(Cc1c(-c2ccccc2)[nH]c2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1","'='","280.0","CHEMBL1138187",2.8e-07,6.55284196865778,"active"
"400","CHEMBL214781","COc1ccc(CCC2(C3CCCC3)CC(=O)C(Sc3nnnn3C)=C(O)O2)cc1Cl","'='","280.0","CHEMBL1149470",2.8e-07,6.55284196865778,"active"
"401","CHEMBL3914527","COc1ccc2c(c1)C1CC13Cn1c-2c(C2CCCCC2)c2ccc(cc21)C(=O)NS(=O)(=O)N(C)CCCCNC3=O","'='","280.0","CHEMBL3886897",2.8e-07,6.55284196865778,"active"
"402","CHEMBL4592592","O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@]2(O)CF)c(=O)[nH]1","'='","280.0","CHEMBL4393666",2.8e-07,6.55284196865778,"active"
"403","CHEMBL4467629","COc1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccc(Cl)cc3)C2=O)cc1","'='","279.9","CHEMBL4311989",2.799e-07,6.55299710153384,"active"
"404","CHEMBL205716","O=C(O)c1ccc2c(c1)nc(-c1ccc(OC(c3ccccc3)c3cccnc3)cc1F)n2C1CCCCC1","'='","270.0","CHEMBL1146135",2.7e-07,6.56863623584101,"active"
"405","CHEMBL210596","O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Br)c1O","'='","260.0","CHEMBL1147722",2.6e-07,6.58502665202918,"active"
"406","CHEMBL1689386","COc1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccccc3)C2=O)cc1","'='","250.0","CHEMBL4311989",2.5e-07,6.60205999132796,"active"
"407","CHEMBL192831","Cc1ccc(C(=O)N/C(=C\c2ccc(Oc3ccccc3Br)cc2)C(=O)O)cc1","'='","250.0","CHEMBL1145278",2.5e-07,6.60205999132796,"active"
"408","CHEMBL189319","CN(C)C1CNC(C(=O)Cn2c(-c3ccccc3)c(C3CCCCC3)c3cc(C(=O)O)ccc32)C1","'='","244.0","CHEMBL1140313",2.44e-07,6.61261017366127,"active"
"409","CHEMBL414976","C[N+]1(C)C[C@@]23C4=C5C6=C7c8c9c%10c%11c%12c%13c%14c%15c%16c%17c%18c%19c%20c%21c%22c%23c%24c%25c%26c%27c(c(c8c8c%10c%13c(c%278)c8c%14c%17c(c%24c%22%18)c%268)[C@@]72C1)[C@H]%25[C@@H]3C=%23[C@@H]4[C@H]%21c1c5c2c3c(c1-%20)[C@H]([C@H]%19%16)[C@@]1(C[N+](C)(C)C[C@]%12%151)C3=C%11[C@H]9[C@H]62.[I-].[I-]","'='","240.0","CHEMBL1144363",2.4e-07,6.61978875828839,"active"
"410","CHEMBL207911","O=C(O)[C@@H]1CSCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O","'='","240.0","CHEMBL1147722",2.4e-07,6.61978875828839,"active"
"411","CHEMBL214031","O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccn3)[nH]c2c1","'='","230.0","CHEMBL1146881",2.3e-07,6.63827216398241,"active"
"412","CHEMBL215848","CN(C)C(=O)Cn1c(-c2ccccc2)c(C2CCCCC2)c2cc(C(=O)O)sc21","'='","230.0","CHEMBL1146030",2.3e-07,6.63827216398241,"active"
"413","CHEMBL371821","O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(F)c(F)c1","'='","230.0","CHEMBL1145278",2.3e-07,6.63827216398241,"active"
"414","CHEMBL212120","Cc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2","'='","230.0","CHEMBL1138030",2.3e-07,6.63827216398241,"active"
"415","CHEMBL192821","O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(F)cc1F","'='","230.0","CHEMBL1145278",2.3e-07,6.63827216398241,"active"
"416","CHEMBL177929","N#Cc1ccccc1COc1cccc(/C(O)=C/C(=O)C(=O)O)c1","'='","230.0","CHEMBL1139456",2.3e-07,6.63827216398241,"active"
"417","CHEMBL204663","O=C(Cc1csc2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1","'='","230.0","CHEMBL1138187",2.3e-07,6.63827216398241,"active"
"418","CHEMBL202895","O=C(NCc1ccccc1)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1","'='","230.0","CHEMBL1138187",2.3e-07,6.63827216398241,"active"
"419","CHEMBL370754","C#Cc1c(C2CCCCC2)c2ccc(C(=O)O)cc2n1CC(=O)N1CCC(N(C)C)CC1","'='","228.0","CHEMBL1140313",2.28e-07,6.64206515299955,"active"
"420","CHEMBL360266","O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCc1cccnc1","'='","221.0","CHEMBL1142034",2.21e-07,6.65560772631489,"active"
"421","CHEMBL4439768","COc1ccc(N2CN=c3s/c(=C/c4ccc(Cl)cc4Cl)c(=O)n3C2)cc1","'='","220.0","CHEMBL4311989",2.2e-07,6.65757731917779,"active"
"422","CHEMBL3938685","COc1ccc2c(c1)C1CC13Cn1c-2c(C2CCCCC2)c2ccc(cc21)C(=O)NS(=O)(=O)N(C)CCN1CCN(CC1)C3=O","'='","220.0","CHEMBL3886897",2.2e-07,6.65757731917779,"active"
"423","CHEMBL202804","O=C(NCc1csc2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1","'='","220.0","CHEMBL1138187",2.2e-07,6.65757731917779,"active"
"424","CHEMBL179934","O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1CCCCCC1","'='","217.0","CHEMBL1142034",2.17e-07,6.66354026615147,"active"
"425","CHEMBL382383","O=C(O)c1nc(-c2nccs2)nc(O)c1O","'='","210.0","CHEMBL1138187",2.1e-07,6.67778070526608,"active"
"426","CHEMBL202911","O=C(Cc1ccccc1Cl)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1","'='","210.0","CHEMBL1138187",2.1e-07,6.67778070526608,"active"
"427","CHEMBL217807","O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)Cc1ccccc1-3","'='","210.0","CHEMBL1137351",2.1e-07,6.67778070526608,"active"
"428","CHEMBL556442","O=C(CN1C(=O)S/C(=C\c2ccc(Cl)cc2)C1=O)Nc1ccc(Cl)cc1","'='","209.89","CHEMBL4311989",2.0989e-07,6.67800825245274,"active"
"429","CHEMBL201603","Cc1cccc2c1c(O)c(C1=NS(=O)(=O)c3ccccc3N1)c(=O)n2CCC(C)C","'='","206.0","CHEMBL1148625",2.06e-07,6.68613277963085,"active"
"430","CHEMBL201119","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(Br)ccc21","'='","205.0","CHEMBL1148625",2.05e-07,6.68824613894425,"active"
"431","CHEMBL212677","O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3ccccc3)cc1)n2C1CCCCC1","'='","200.0","CHEMBL1138950",2e-07,6.69897000433602,"active"
"432","CHEMBL373241","CCOC(=O)c1c(NC(=O)NS(=O)(=O)N2CCc3ccccc32)sc2c1CCC(C)(C)C2","'='","200.0","CHEMBL1148540",2e-07,6.69897000433602,"active"
"433","CHEMBL191977","O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)C1CCCCC1","'='","200.0","CHEMBL1145278",2e-07,6.69897000433602,"active"
"434","CHEMBL440573","O=C1/C(=C/c2ccc(Br)c(Br)c2)SC(=S)N1NS(=O)(=O)c1ccccc1","'='","200.0","CHEMBL1149391",2e-07,6.69897000433602,"active"
"435","CHEMBL201550","O=C1/C(=C/c2ccc(Cl)c(Cl)c2)SC(=S)N1NS(=O)(=O)c1cccs1","'='","200.0","CHEMBL1149391",2e-07,6.69897000433602,"active"
"436","CHEMBL383596","CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C)cc2)sc2c1CCC(C)C2","'='","200.0","CHEMBL1148540",2e-07,6.69897000433602,"active"
"437","CHEMBL201501","O=C1/C(=C/c2cc(F)c(F)cc2F)SC(=S)N1NS(=O)(=O)c1ccccc1","'='","200.0","CHEMBL1149391",2e-07,6.69897000433602,"active"
"438","CHEMBL202580","O=C1/C(=C/c2ccc(Cl)c(Cl)c2)SC(=S)N1NS(=O)(=O)c1ccccc1","'='","200.0","CHEMBL1149391",2e-07,6.69897000433602,"active"
"439","CHEMBL194438","Cc1cccc(Cl)c1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1","'='","200.0","CHEMBL1140265",2e-07,6.69897000433602,"active"
"440","CHEMBL195476","O=C(O)/C(=C/c1ccc(Oc2ccccc2Cl)cc1)NC(=O)c1ccccc1","'='","200.0","CHEMBL1140265",2e-07,6.69897000433602,"active"
"441","CHEMBL371648","CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C)cn2)sc2c1CCC(C)(C)C2","'='","200.0","CHEMBL1148540",2e-07,6.69897000433602,"active"
"442","CHEMBL380788","O=S(=O)(NN1C(=S)S/C(=C\c2ccc(Cl)c(Cl)c2)C1O)c1ccccc1F","'='","200.0","CHEMBL1149391",2e-07,6.69897000433602,"active"
"443","CHEMBL203729","O=C(Cc1c[nH]c2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1","'='","200.0","CHEMBL1138187",2e-07,6.69897000433602,"active"
"444","CHEMBL381033","CC(/C=C1\SC(=S)N(NS(=O)(=O)c2ccccc2)C1=O)=C\c1ccccc1","'='","200.0","CHEMBL1149391",2e-07,6.69897000433602,"active"
"445","CHEMBL4457244","COc1ccc(/C=c2/sc3n(c2=O)CN(c2ccccc2)CN=3)cc1","'='","199.99","CHEMBL4311989",1.9999e-07,6.698991719603,"active"
"446","CHEMBL4521216","O=c1/c(=C\c2ccc(F)cc2)sc2n1CN(c1ccc(Cl)cc1)CN=2","'='","199.99","CHEMBL4311989",1.9999e-07,6.698991719603,"active"
"447","CHEMBL202062","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(O)ccc21","'='","198.0","CHEMBL1148625",1.98e-07,6.70333480973847,"active"
"448","CHEMBL180948","CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1","'='","190.0","CHEMBL1142030",1.9e-07,6.72124639904717,"active"
"449","CHEMBL3126842","COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1C3CCC1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21","'='","190.0","CHEMBL3124792",1.9e-07,6.72124639904717,"active"
"450","CHEMBL201313","CCCC1(CC(=O)O)OCCc2c1sc1c(C)ccc(Br)c21","'='","190.0","CHEMBL1148590",1.9e-07,6.72124639904717,"active"
"451","CHEMBL4592496","O=c1ccn([C@@H]2O[C@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@]2(F)Cl)c(=O)[nH]1","'='","190.0","CHEMBL4393666",1.9e-07,6.72124639904717,"active"
