"","Molecule.ChEMBL.ID","Smiles","Standard.Relation","Standard.Value","Document.ChEMBL.ID","Molar","pIC50","Bioactivity.Class"
"17","CHEMBL1765742","CC[C@@H]1CO[C@H](C(=O)Nc2ccccc2)CN1c1cc(-c2ccc3c(N)n[nH]c3c2)nc(NC)n1","'='","3162.28","CHEMBL1765070",3.16228e-06,5.49999967865706,"active"
"18","CHEMBL1765736","C[C@H]1CC[C@@H](C(=O)Nc2ccccc2)CN1c1cc(-c2ccc3c(N)n[nH]c3c2)nc(N)n1","'='","3162.28","CHEMBL1765070",3.16228e-06,5.49999967865706,"active"
"19","CHEMBL4641760","COc1cccc(Cn2cnc3cc(-c4ccc5[nH]ncc5c4)ccc3c2=O)c1","'='","3106.0","CHEMBL4616614",3.106e-06,5.50779854860746,"active"
"20","CHEMBL4471765","CN(/N=C/c1ccccc1)S(=O)(=O)c1cccc2cnccc12","'='","3100.0","CHEMBL4359858",3.1e-06,5.50863830616573,"active"
"21","CHEMBL4857347","N#Cc1cccc(CN2CCOc3cc(-c4ccncc4)ccc3C2=O)c1","'='","3099.0","CHEMBL4834456",3.099e-06,5.50877842376072,"active"
"22","CHEMBL3666719","CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3cc(OCCCN4CCOCC4)c(OC)cc3n2)c1","'>'","3000.0","CHEMBL3639077",3e-06,5.52287874528034,"active"
"23","CHEMBL3666720","COc1cc2nc(-c3cccc(NC(=O)CN4CCOCC4)c3)nc(Nc3ccc4[nH]ncc4c3)c2cc1OCCN1CCCC1","'>'","3000.0","CHEMBL3639077",3e-06,5.52287874528034,"active"
"24","CHEMBL3666759","CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccc(OCCOC)cc3n2)c1","'>'","3000.0","CHEMBL3639077",3e-06,5.52287874528034,"active"
"25","CHEMBL1086322","Cc1c(-c2ccnc(N)n2)sc2ccccc12","'='","2900.0","CHEMBL1155477",2.9e-06,5.53760200210104,"active"
"26","CHEMBL2023151","O=C(NCC(O)c1ccccc1)Nc1ccc2[nH]ncc2c1","'='","2900.0","CHEMBL3886847",2.9e-06,5.53760200210104,"active"
"27","CHEMBL4209416","Cc1n[nH]cc1-c1cc2c(s1)C(=O)N[C@]1(CC[C@](O)(C3CCCCC3)CC1)N2","'='","2900.0","CHEMBL4177537",2.9e-06,5.53760200210104,"active"
"28","CHEMBL3356430","COCCOCC1(C(=O)Nc2cccc(OC(=O)N(C)C)c2)CCN(c2ncnc3[nH]cc(C)c23)CC1","'>'","2800.0","CHEMBL3352182",2.8e-06,5.55284196865778,"active"
"29","CHEMBL3649659","COc1ccc2c(c1)C(=O)N[C@@H](Cc1ccc(-c3ccnc4[nH]ccc34)cc1)C(=O)N2C","'='","2800.0","CHEMBL3638405",2.8e-06,5.55284196865778,"active"
"30","CHEMBL2023159","O=C(NCCc1ccccc1)Nc1ccc(-c2ccncc2)cc1","'='","2610.0","CHEMBL2021814",2.61e-06,5.58335949266172,"active"
"31","CHEMBL2023152","COc1ccc(CCNC(=O)Nc2ccc3[nH]ncc3c2)cc1","'='","2600.0","CHEMBL2021814",2.6e-06,5.58502665202918,"active"
"32","CHEMBL3666717","NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1","'='","2600.0","CHEMBL3639077",2.6e-06,5.58502665202918,"active"
"33","CHEMBL589336","CCN(CC)c1ncc(-c2ccncc2)nc1N1CCCN(C)CC1","'='","2600.0","CHEMBL1157736",2.6e-06,5.58502665202918,"active"
"34","CHEMBL4644231","COc1cccc(Cn2cnc3sc(-c4ccnc(C)c4)cc3c2=O)c1","'='","2515.0","CHEMBL4616614",2.515e-06,5.59946201060805,"active"
"35","CHEMBL1765876","Nc1nc(Nc2ccccc2)cc(-c2ccc3c(N)n[nH]c3c2)n1","'='","2511.89","CHEMBL1765070",2.51189e-06,5.59999938302362,"active"
"36","CHEMBL3947868","COc1cc(C(=O)NCc2cccc(CN(C)C)c2)ccc1-c1cn[nH]c1","'='","2510.0","CHEMBL3886981",2.51e-06,5.60032627851896,"active"
"37","CHEMBL1794065","CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCNCC3)c21.O=C(O)C(F)(F)F","'='","2510.0","CHEMBL1140130",2.51e-06,5.60032627851896,"active"
"38","CHEMBL4473009","CC(=O)Nc1cccc(NC(=O)COc2ccc3c(=O)ccoc3c2)c1","'='","2502.0","CHEMBL4376834",2.502e-06,5.6017126946426,"active"
"39","CHEMBL594748","Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4ccccc4)cnc3-c3cccs3)cc12","'='","2500.0","CHEMBL1153241",2.5e-06,5.60205999132796,"active"
"40","CHEMBL217910","CC1=C(C(=O)Nc2ccc3[nH]ncc3c2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1","'='","2500.0","CHEMBL1139217",2.5e-06,5.60205999132796,"active"
"41","CHEMBL3978510","O=C(Nc1nc(-c2ccncc2)cs1)Nc1ccccc1Cl","'='","2490.0","CHEMBL3886451",2.49e-06,5.60380065290426,"active"
"42","CHEMBL2023155","O=C(NCCCc1ccccc1)Nc1ccc2[nH]ncc2c1","'='","2460.0","CHEMBL2021814",2.46e-06,5.60906489289662,"active"
"43","CHEMBL3926252","COc1cc(C(=O)NCc2ccc(Cl)cc2S(=O)(=O)CC(C)C)ccc1-c1cn[nH]c1","'='","2440.0","CHEMBL3886981",2.44e-06,5.61261017366127,"active"
"44","CHEMBL4568447","COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccnc(NCC(C)(C)O)c3)cc2)c1","'='","2400.0","CHEMBL4325872",2.4e-06,5.61978875828839,"active"
"45","CHEMBL3407526","Cc1c[nH]c2ncnc(-c3ccc(NC(=O)Nc4cccc(C(=O)NC(C)C)c4)c(F)c3)c12","'='","2390.0","CHEMBL3407489",2.39e-06,5.62160209905186,"active"
"46","CHEMBL3218025","O=C(NCc1ccc(Cl)cc1)Nc1nc(-c2ccncc2)cs1","'='","2390.0","CHEMBL3886451",2.39e-06,5.62160209905186,"active"
"47","CHEMBL590313","CN1CCCN(c2nc(-c3ccc4[nH]ncc4c3)cnc2N)CC1","'='","2300.0","CHEMBL1157736",2.3e-06,5.63827216398241,"active"
"48","CHEMBL4552628","Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12","'='","2300.0","CHEMBL4477252",2.3e-06,5.63827216398241,"active"
"49","CHEMBL3903654","COc1cc(C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)N(C)C)ccc1-c1cn[nH]c1","'='","2270.0","CHEMBL3886981",2.27e-06,5.64397414280688,"active"
"50","CHEMBL2023153","O=C(NCCc1ccc(Cl)cc1)Nc1ccc2[nH]ncc2c1","'='","2200.0","CHEMBL3886847",2.2e-06,5.65757731917779,"active"
"51","CHEMBL1085700","Cc1c(-c2ccnc(N)n2)sc2ccc(CN)cc12","'='","2200.0","CHEMBL1155477",2.2e-06,5.65757731917779,"active"
"52","CHEMBL3356433","Cc1c[nH]c2ncnc(N3CCC(CN)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12","'='","2200.0","CHEMBL3352182",2.2e-06,5.65757731917779,"active"
"53","CHEMBL1643368","Nc1nccc2cc(O[C@H]3CCCNC3)ccc12","'='","2137.96","CHEMBL1667835",2.13796e-06,5.67000042445081,"active"
"54","CHEMBL3809584","CC1=C(C(=O)N(C)c2ccc3[nH]ncc3c2)C(c2ccc(F)c(C(=O)NCc3c(C)cccc3C)c2)NC(=O)N1","'='","2100.0","CHEMBL3808388",2.1e-06,5.67778070526608,"active"
"55","CHEMBL1923161","COc1cccc(CNC(=O)c2cc3ccc(-c4ccnc(N)c4)cc3[nH]2)c1","'='","2100.0","CHEMBL1921667",2.1e-06,5.67778070526608,"active"
"56","CHEMBL3218018","CCOc1cccc(CNC(=O)Nc2nc(-c3ccncc3)cs2)c1","'='","2100.0","CHEMBL3217586",2.1e-06,5.67778070526608,"active"
"57","CHEMBL4099435","CCOCc1nc2cc(-c3c[nH]nc3C)sc2c(=O)[nH]1","'='","2100.0","CHEMBL4033719",2.1e-06,5.67778070526608,"active"
"58","CHEMBL4213496","Cc1n[nH]c(C)c1-c1cc2c(s1)C(=O)NC(C)(C)N2C","'='","2100.0","CHEMBL4177537",2.1e-06,5.67778070526608,"active"
"59","CHEMBL3973907","O=C(NCc1ccncc1)Nc1nc(-c2ccncc2)cs1","'='","2070.0","CHEMBL3886451",2.07e-06,5.68402965454308,"active"
"60","CHEMBL4643620","COc1cccc(CN2CCc3cc(-c4ccc5[nH]ncc5c4)ccc3C2=O)c1","'='","2062.0","CHEMBL4616614",2.062e-06,5.6857113390525,"active"
"61","CHEMBL3894920","COc1cc(C(=O)NCc2ccc(Cl)cc2SCC(C)C)ccc1-c1cn[nH]c1","'>'","2000.0","CHEMBL3886981",2e-06,5.69897000433602,"active"
"62","CHEMBL4108515","CCC(O)c1cc(C(=O)N[C@H](C)c2ccccc2)ccc1-c1cn[nH]c1","'>'","2000.0","CHEMBL3886981",2e-06,5.69897000433602,"active"
"63","CHEMBL4111557","C[C@@H](O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)ccc1-c1cn[nH]c1","'>'","2000.0","CHEMBL3886981",2e-06,5.69897000433602,"active"
"64","CHEMBL4110660","COc1cccc([C@@H](C)NC(=O)c2ccc(-c3c(C)n[nH]c3C)c(C)c2)c1","'>'","2000.0","CHEMBL3886981",2e-06,5.69897000433602,"active"
"65","CHEMBL4107114","C[C@@H](NC(=O)c1ccc(-c2cn[nH]c2)c(S(C)(=O)=O)c1)c1ccccc1","'>'","2000.0","CHEMBL3886981",2e-06,5.69897000433602,"active"
"66","CHEMBL4111045","C[C@@H](NC(=O)c1ccc(-c2cn[nH]c2)c(Cn2ccnn2)c1)c1ccccc1","'>'","2000.0","CHEMBL3886981",2e-06,5.69897000433602,"active"
"67","CHEMBL4783882","COc1cccc([C@@H](C)NC(=O)c2ccc3c(c2)c(=O)[nH]c2cnccc23)c1","'>'","2000.0","CHEMBL4665758",2e-06,5.69897000433602,"active"
"68","CHEMBL4107912","CC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)ccc1-c1cn[nH]c1","'>'","2000.0","CHEMBL3886981",2e-06,5.69897000433602,"active"
"69","CHEMBL4107460","COc1cccc([C@@H](C)NC(=O)c2ccc(-c3cn[nH]c3)cc2S(C)(=O)=O)c1","'>'","2000.0","CHEMBL3886981",2e-06,5.69897000433602,"active"
"70","CHEMBL4112130","COc1cc(-c2cn[nH]c2)cc(F)c1C(=O)N[C@H](C)c1ccccc1","'>'","2000.0","CHEMBL3886981",2e-06,5.69897000433602,"active"
"71","CHEMBL1765732","Nc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2CCC[C@H](C(=O)Nc3ccccc3)C2)n1","'='","1995.26","CHEMBL1765070",1.99526e-06,5.70000050388302,"active"
"72","CHEMBL494882","CCn1c(-c2nonc2N)nc2c(C#CC3CC3)ncc(OCCCN)c21","'='","1995.0","CHEMBL1140130",1.995e-06,5.70005709997723,"active"
"73","CHEMBL4867403","O=C1c2ccc(-c3ccncc3)cc2OCCN1Cc1cccc(C(F)(F)F)c1","'='","1964.0","CHEMBL4834456",1.964e-06,5.70685851654907,"active"
"74","CHEMBL1643571","Nc1nccc2cc(O[C@@H]3CCCNC3)ccc12","'='","1949.84","CHEMBL1641363",1.94984e-06,5.71000102451851,"active"
"75","CHEMBL1923052","COc1cccc(CNC(=O)c2cc3ccc(-c4ccncc4)cc3[nH]2)c1","'='","1900.0","CHEMBL1921667",1.9e-06,5.72124639904717,"active"
"76","CHEMBL1923170","COc1ccc(CNC(=O)c2c[nH]c3cc(-c4cn[nH]c4)ccc23)cc1","'='","1900.0","CHEMBL1921667",1.9e-06,5.72124639904717,"active"
"77","CHEMBL3808657","CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(F)c(C(=O)NCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c2)NC(=O)N1","'='","1900.0","CHEMBL3808388",1.9e-06,5.72124639904717,"active"
"78","CHEMBL4550282","COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccncn3)cc2N2CC[C@@H](CN)C2)c1","'='","1900.0","CHEMBL4325872",1.9e-06,5.72124639904717,"active"
"79","CHEMBL3965615","O=C(NCc1ccccc1)c1ccc(-c2cn[nH]c2)cc1CCO","'='","1880.0","CHEMBL3886981",1.88e-06,5.72584215073632,"active"
"80","CHEMBL3935950","O=C(NCc1ccc(Cl)cc1Cl)Nc1nc(-c2ccncc2)cs1","'='","1880.0","CHEMBL3886451",1.88e-06,5.72584215073632,"active"
"81","CHEMBL3929051","COc1cc(C(=O)NCc2ccc(OCC(C)C)cc2Cl)ccc1-c1cn[nH]c1","'='","1880.0","CHEMBL3886981",1.88e-06,5.72584215073632,"active"
"82","CHEMBL4639886","COc1cccc(Cn2ccc3cc(-c4ccc5[nH]ncc5c4)ccc3c2=O)c1","'='","1877.0","CHEMBL4616614",1.877e-06,5.72653572737865,"active"
"83","CHEMBL3914256","O=C(Nc1nc(-c2ccncc2)cs1)NC(c1ccccc1)c1ccccc1","'='","1870.0","CHEMBL3886451",1.87e-06,5.7281583934635,"active"
"84","CHEMBL1643364","Nc1nccc2cc(CNCCc3ccncc3)ccc12","'='","1862.09","CHEMBL1641363",1.86209e-06,5.72999933218455,"active"
"85","CHEMBL3944452","O=C(NCc1ccccn1)Nc1nc(-c2ccncc2)cs1","'='","1820.0","CHEMBL3886451",1.82e-06,5.73992861201492,"active"
"86","CHEMBL4460696","COc1ccc(OCC(=O)Nc2cccc(NC(=O)c3ccc(N(C)C)cc3)c2)cc1F","'='","1820.0","CHEMBL4376834",1.82e-06,5.73992861201492,"active"
"87","CHEMBL591047","CNC1CCN(c2nc(-c3ccncc3)cnc2N2CCCC2)CC1","'='","1800.0","CHEMBL1157736",1.8e-06,5.74472749489669,"active"
"88","CHEMBL4111265","C[C@@H](NC(=O)c1ccc(-c2cn[nH]c2)c(OCC(C)(C)O)c1)c1ccccc1","'='","1790.0","CHEMBL3886981",1.79e-06,5.74714696902011,"active"
"89","CHEMBL1667964","c1cc2cc(OC3CCCNC3)ccc2cn1","'='","1778.28","CHEMBL1667835",1.77828e-06,5.74999985591871,"active"
"90","CHEMBL4112708","CNc1cc(C(=O)N[C@H](C)c2ccc(F)cc2)ccc1-c1cn[nH]c1","'='","1760.0","CHEMBL3886981",1.76e-06,5.75448733218585,"active"
"91","CHEMBL3976301","COc1cc(C(=O)NCc2cccc(OC(F)(F)F)c2)ccc1-c1cn[nH]c1","'='","1708.0","CHEMBL3886981",1.708e-06,5.76751213364701,"active"
"92","CHEMBL4110398","COC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)ccc1-c1cn[nH]c1","'='","1700.0","CHEMBL3886981",1.7e-06,5.76955107862173,"active"
"93","CHEMBL4081417","Cc1n[nH]cc1-c1cc2nc(N3CCOCC3)[nH]c(=O)c2s1","'='","1700.0","CHEMBL4033719",1.7e-06,5.76955107862173,"active"
"94","CHEMBL4547725","COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccncn3)cc2N2CC[C@H](CN)C2)c1","'='","1700.0","CHEMBL4325872",1.7e-06,5.76955107862173,"active"
"95","CHEMBL1643363","Nc1nccc2cc(CNCCc3cccc(C(F)(F)F)c3)ccc12","'='","1698.24","CHEMBL1641363",1.69824e-06,5.77000093405071,"active"
"96","CHEMBL2023158","O=C(Nc1ccc(-c2ccncc2)cc1)N[C@H](CO)c1ccccc1","'='","1690.0","CHEMBL3886847",1.69e-06,5.77211329538633,"active"
"97","CHEMBL4590232","CCCOc1cccc([C@@H](CCO)NC(=O)c2ccc(-c3ccnc(F)c3)cc2)c1","'='","1600.0","CHEMBL4325872",1.6e-06,5.79588001734407,"active"
"98","CHEMBL4061122","Cc1n[nH]cc1-c1cc2nc(-c3ccccc3)[nH]c(=O)c2s1","'='","1600.0","CHEMBL4033719",1.6e-06,5.79588001734407,"active"
"99","CHEMBL4073971","Cc1n[nH]cc1-c1cc2nc(CCN3CCCC3)[nH]c(=O)c2s1","'='","1600.0","CHEMBL4033719",1.6e-06,5.79588001734407,"active"
"100","CHEMBL1688215","Nc1nccc(-c2ccc3c(N)n[nH]c3c2)n1","'='","1584.89","CHEMBL1765070",1.58489e-06,5.8000008748032,"active"
"101","CHEMBL3949659","CN(C)CCOc1cc(C(=O)NCc2ccccc2Cl)ccc1-c1cn[nH]c1","'='","1580.0","CHEMBL3886981",1.58e-06,5.80134291304558,"active"
"102","CHEMBL593490","Cc1[nH]nc2ccc(-c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)cc12","'='","1580.0","CHEMBL1153227",1.58e-06,5.80134291304558,"active"
"103","CHEMBL591272","CN1CCCN(c2nc(-c3ccnc4[nH]ccc34)cnc2N)CC1","'='","1500.0","CHEMBL1157736",1.5e-06,5.82390874094432,"active"
"104","CHEMBL4561384","Cc1n[nH]cc1-c1cc2nc([C@@H]3CCC(C)(C)N3)[nH]c(=O)c2s1","'='","1500.0","CHEMBL4321874",1.5e-06,5.82390874094432,"active"
"105","CHEMBL1085214","Cc1c(-c2ccnc(N)n2)sc2ccc(Cl)cc12","'='","1500.0","CHEMBL1155477",1.5e-06,5.82390874094432,"active"
"106","CHEMBL4446212","COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccnc(NCCO)c3)cc2)c1","'='","1500.0","CHEMBL4325872",1.5e-06,5.82390874094432,"active"
"107","CHEMBL4063842","Cc1nc2cc(-c3c[nH]nc3C)sc2c(=O)[nH]1","'='","1500.0","CHEMBL4033719",1.5e-06,5.82390874094432,"active"
"108","CHEMBL1643362","Nc1nccc2cc(CNCCNc3ccccc3)ccc12","'='","1479.11","CHEMBL1641363",1.47911e-06,5.82999952673565,"active"
"109","CHEMBL4864149","COc1cccc(CN2COc3cc(-c4ccc5[nH]ncc5c4)ccc3C2=O)c1","'='","1462.0","CHEMBL4834456",1.462e-06,5.83505262737816,"active"
"110","CHEMBL4644637","COc1ccc(Cn2cnc3sc(-c4ccnc(N)c4)cc3c2=O)cc1","'='","1445.0","CHEMBL4616614",1.445e-06,5.84013215290743,"active"
"111","CHEMBL4452457","CCCC(=O)Nc1cccc(NC(=O)COc2ccc3c(=O)ccoc3c2)c1","'='","1431.0","CHEMBL4376834",1.431e-06,5.84436036624022,"active"
"112","CHEMBL2023160","O=C(Nc1ccc(-c2ccncc2)cc1)N[C@@H](CO)Cc1ccccc1","'='","1410.0","CHEMBL2021814",1.41e-06,5.85078088734462,"active"
"113","CHEMBL611386","CN(C)c1ncc(-c2ccncc2)nc1N1CCN(CCO)CC1","'='","1400.0","CHEMBL1157736",1.4e-06,5.85387196432176,"active"
"114","CHEMBL3218007","COc1ccccc1CNC(=O)Nc1nc(-c2ccncc2)cs1","'='","1400.0","CHEMBL3886451",1.4e-06,5.85387196432176,"active"
"115","CHEMBL595685","Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4ccccc4)cnc3-c3ccc(O)cc3)cc12","'='","1400.0","CHEMBL1153241",1.4e-06,5.85387196432176,"active"
"116","CHEMBL1923178","COc1ccc(OC)c(CNC(=O)c2c[nH]c3cc(-c4cn[nH]c4)ccc23)c1","'='","1340.0","CHEMBL1921667",1.34e-06,5.87289520163519,"active"
"117","CHEMBL3904808","COc1cc(C(=O)N(C)Cc2ccccc2)ccc1-c1cn[nH]c1","'='","1340.0","CHEMBL3886981",1.34e-06,5.87289520163519,"active"
"118","CHEMBL3218016","CC(=O)Nc1cccc(CNC(=O)Nc2nc(-c3ccncc3)cs2)c1","'='","1300.0","CHEMBL3217586",1.3e-06,5.88605664769316,"active"
"119","CHEMBL595708","Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4ccccc4)cnc3-c3ccco3)cc12","'='","1290.0","CHEMBL1153241",1.29e-06,5.88941028970075,"active"
"120","CHEMBL1643361","Nc1nccc2cc(CNCCc3ccccc3)ccc12","'='","1288.25","CHEMBL1641363",1.28825e-06,5.88999984886689,"active"
"121","CHEMBL1951346","Cc1c[nH]c2ncnc(-c3ccc(NC(=O)Nc4cccc(C(=O)NC(C)C)c4)cc3)c12","'='","1283.0","CHEMBL3407489",1.283e-06,5.89177334362507,"active"
"122","CHEMBL4744858","COc1cccc(Cn2ncc3ccc(-c4cn[nH]c4)cc3c2=O)c1","'='","1271.0","CHEMBL4699564",1.271e-06,5.89585444944599,"active"
"123","CHEMBL523859","CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC[C@@H](N)Cc3ccccc3)c21","'='","1260.0","CHEMBL1140130",1.26e-06,5.89962945488244,"active"
